User,MenuItem,Quantity,PricePerUnit,TotalPrice,Date
사용자1,티라미수,1,8000,8000,2024-03-04
사용자1,티라미수,3,8000,24000,2024-11-25
사용자1,까르보나라 파스타,3,18000,54000,2024-04-16
사용자1,아메리카노,1,5000,5000,2024-11-29
사용자1,티라미수,1,8000,8000,2024-06-23
사용자1,아메리카노,3,5000,15000,2024-12-25
사용자1,티라미수,2,8000,16000,2024-07-11
사용자1,티라미수,3,8000,24000,2024-01-20
사용자1,까르보나라 파스타,3,18000,54000,2024-11-05
사용자1,마르게리타 피자,3,15000,45000,2024-03-02
사용자1,마르게리타 피자,3,15000,45000,2024-03-25
사용자2,마르게리타 피자,1,15000,15000,2024-07-13
사용자2,마르게리타 피자,3,15000,45000,2024-07-29
사용자2,마르게리타 피자,2,15000,30000,2024-05-11
사용자2,아메리카노,1,5000,5000,2024-03-25
사용자2,까르보나라 파스타,2,18000,36000,2024-11-10
사용자2,티라미수,2,8000,16000,2024-12-17
사용자2,티라미수,2,8000,16000,2024-07-24
사용자2,까르보나라 파스타,2,18000,36000,2024-05-28
사용자2,까르보나라 파스타,1,18000,18000,2024-11-10
사용자2,마르게리타 피자,1,15000,15000,2024-02-26
사용자2,까르보나라 파스타,2,18000,36000,2024-02-17
사용자2,까르보나라 파스타,2,18000,36000,2024-11-04
사용자3,까르보나라 파스타,1,18000,18000,2024-07-13
사용자3,아메리카노,3,5000,15000,2024-09-01
사용자3,까르보나라 파스타,3,18000,54000,2024-04-23
사용자3,까르보나라 파스타,3,18000,54000,2024-04-13
사용자3,아메리카노,2,5000,10000,2024-05-29
사용자3,티라미수,3,8000,24000,2024-02-04
사용자3,아메리카노,2,5000,10000,2024-08-19
사용자3,마르게리타 피자,2,15000,30000,2024-11-16
사용자3,까르보나라 파스타,3,18000,54000,2024-07-09
사용자3,티라미수,2,8000,16000,2024-01-29
사용자3,마르게리타 피자,3,15000,45000,2024-01-06
사용자3,아메리카노,3,5000,15000,2024-01-10
사용자3,마르게리타 피자,1,15000,15000,2024-10-04
사용자4,아메리카노,1,5000,5000,2024-07-30
사용자4,아메리카노,3,5000,15000,2024-12-22
사용자4,티라미수,3,8000,24000,2024-02-11
사용자4,까르보나라 파스타,1,18000,18000,2024-05-21
사용자4,마르게리타 피자,1,15000,15000,2024-11-08
사용자4,티라미수,3,8000,24000,2024-10-07
사용자4,마르게리타 피자,2,15000,30000,2024-10-07
사용자5,아메리카노,1,5000,5000,2024-08-07
사용자5,마르게리타 피자,2,15000,30000,2024-12-23
사용자5,티라미수,2,8000,16000,2024-12-13
사용자5,아메리카노,2,5000,10000,2024-01-23
사용자5,아메리카노,1,5000,5000,2024-01-03
사용자5,까르보나라 파스타,2,18000,36000,2024-06-09
사용자5,아메리카노,1,5000,5000,2024-04-21
사용자5,아메리카노,2,5000,10000,2024-04-26
사용자6,티라미수,3,8000,24000,2024-11-10
사용자6,아메리카노,3,5000,15000,2024-11-17
사용자6,까르보나라 파스타,1,18000,18000,2024-05-10
사용자6,까르보나라 파스타,3,18000,54000,2024-08-25
사용자6,마르게리타 피자,3,15000,45000,2024-09-28
사용자6,아메리카노,2,5000,10000,2024-09-20
사용자6,티라미수,1,8000,8000,2024-07-03
사용자6,까르보나라 파스타,2,18000,36000,2024-02-19
사용자7,아메리카노,2,5000,10000,2024-08-22
사용자7,까르보나라 파스타,2,18000,36000,2024-07-13
사용자7,티라미수,2,8000,16000,2024-04-20
사용자7,아메리카노,2,5000,10000,2024-05-10
사용자7,티라미수,2,8000,16000,2024-08-26
사용자7,티라미수,2,8000,16000,2024-02-12
사용자7,마르게리타 피자,1,15000,15000,2024-10-02
사용자7,아메리카노,3,5000,15000,2024-04-02
사용자7,아메리카노,2,5000,10000,2024-08-22
사용자7,까르보나라 파스타,2,18000,36000,2024-01-20
사용자7,까르보나라 파스타,2,18000,36000,2024-12-30
사용자7,마르게리타 피자,2,15000,30000,2024-01-05
사용자8,마르게리타 피자,2,15000,30000,2024-07-01
사용자8,마르게리타 피자,3,15000,45000,2024-08-13
사용자8,까르보나라 파스타,3,18000,54000,2024-02-15
사용자8,까르보나라 파스타,2,18000,36000,2024-11-09
사용자8,마르게리타 피자,3,15000,45000,2024-10-06
사용자8,마르게리타 피자,1,15000,15000,2024-02-02
사용자8,티라미수,2,8000,16000,2024-02-12
사용자8,티라미수,1,8000,8000,2024-06-26
사용자9,티라미수,3,8000,24000,2024-03-28
사용자9,아메리카노,1,5000,5000,2024-01-05
사용자9,아메리카노,2,5000,10000,2024-04-29
사용자9,마르게리타 피자,1,15000,15000,2024-10-14
사용자9,아메리카노,1,5000,5000,2024-09-20
사용자9,마르게리타 피자,1,15000,15000,2024-01-13
사용자10,까르보나라 파스타,1,18000,18000,2024-06-09
사용자10,까르보나라 파스타,3,18000,54000,2024-04-07
사용자10,아메리카노,1,5000,5000,2024-03-11
사용자10,마르게리타 피자,1,15000,15000,2024-05-15
사용자10,아메리카노,3,5000,15000,2024-02-10
사용자11,티라미수,3,8000,24000,2024-10-05
사용자11,까르보나라 파스타,1,18000,18000,2024-11-10
사용자11,마르게리타 피자,3,15000,45000,2024-10-15
사용자11,티라미수,3,8000,24000,2024-05-14
사용자11,티라미수,1,8000,8000,2024-04-22
사용자11,까르보나라 파스타,3,18000,54000,2024-06-25
사용자11,아메리카노,1,5000,5000,2024-08-28
사용자11,티라미수,2,8000,16000,2024-08-26
사용자11,아메리카노,3,5000,15000,2024-09-02
사용자11,아메리카노,2,5000,10000,2024-09-09
사용자11,까르보나라 파스타,1,18000,18000,2024-05-18
사용자11,까르보나라 파스타,3,18000,54000,2024-10-08
사용자11,티라미수,1,8000,8000,2024-07-25
사용자11,까르보나라 파스타,2,18000,36000,2024-11-22
사용자11,아메리카노,1,5000,5000,2024-12-10
사용자12,티라미수,3,8000,24000,2024-06-02
사용자12,티라미수,2,8000,16000,2024-05-17
사용자12,까르보나라 파스타,1,18000,18000,2024-04-20
사용자12,티라미수,3,8000,24000,2024-08-11
사용자12,아메리카노,2,5000,10000,2024-07-26
사용자12,까르보나라 파스타,3,18000,54000,2024-08-23
사용자12,마르게리타 피자,3,15000,45000,2024-11-02
사용자12,마르게리타 피자,1,15000,15000,2024-10-23
사용자12,마르게리타 피자,3,15000,45000,2024-05-11
사용자12,티라미수,1,8000,8000,2024-12-18
사용자12,티라미수,3,8000,24000,2024-02-29
사용자13,까르보나라 파스타,1,18000,18000,2024-11-30
사용자13,까르보나라 파스타,1,18000,18000,2024-08-03
사용자13,티라미수,2,8000,16000,2024-11-01
사용자13,티라미수,3,8000,24000,2024-12-03
사용자13,마르게리타 피자,3,15000,45000,2024-01-14
사용자13,아메리카노,2,5000,10000,2024-04-17
사용자13,마르게리타 피자,3,15000,45000,2024-07-05
사용자14,아메리카노,1,5000,5000,2024-11-08
사용자14,티라미수,3,8000,24000,2024-05-08
사용자14,아메리카노,3,5000,15000,2024-08-10
사용자14,까르보나라 파스타,2,18000,36000,2024-02-23
사용자14,까르보나라 파스타,2,18000,36000,2024-10-03
사용자14,티라미수,1,8000,8000,2024-02-19
사용자14,까르보나라 파스타,3,18000,54000,2024-08-09
사용자14,아메리카노,3,5000,15000,2024-05-18
사용자14,티라미수,3,8000,24000,2024-02-26
사용자14,까르보나라 파스타,1,18000,18000,2024-03-31
사용자14,마르게리타 피자,1,15000,15000,2024-03-12
사용자14,마르게리타 피자,2,15000,30000,2024-07-29
사용자14,까르보나라 파스타,1,18000,18000,2024-09-21
사용자14,까르보나라 파스타,3,18000,54000,2024-08-12
사용자14,까르보나라 파스타,3,18000,54000,2024-12-18
사용자15,아메리카노,1,5000,5000,2024-02-16
사용자15,마르게리타 피자,1,15000,15000,2024-03-01
사용자15,아메리카노,3,5000,15000,2024-11-13
사용자15,까르보나라 파스타,3,18000,54000,2024-01-06
사용자15,마르게리타 피자,3,15000,45000,2024-06-14
사용자15,마르게리타 피자,2,15000,30000,2024-04-23
사용자15,티라미수,2,8000,16000,2024-03-10
사용자15,아메리카노,2,5000,10000,2024-10-24
사용자15,아메리카노,1,5000,5000,2024-10-29
사용자15,아메리카노,2,5000,10000,2024-11-27
사용자15,까르보나라 파스타,1,18000,18000,2024-09-03
사용자15,마르게리타 피자,1,15000,15000,2024-03-03
사용자15,까르보나라 파스타,2,18000,36000,2024-11-04
사용자15,티라미수,2,8000,16000,2024-08-04
사용자15,티라미수,2,8000,16000,2024-09-27
사용자16,아메리카노,2,5000,10000,2024-12-18
